method,terms,threshold,recall,specificity,precision,fpr,precision_n
model,1,0.19237931034482758,0.98,0.9999287276832969,0.40923326673326693,0.00007127231670312619,100
model,1,0.20709595959595958,0.98,0.9999324912379742,0.41580072705072724,0.0000675087620257334,100
model,1,0.21633401221995927,0.97,0.9999357843483169,0.4194011544011546,0.0000642156516830147,100
model,1,0.23579310344827586,0.97,0.9999393126808268,0.4291435786435789,0.000060687319172958927,100
model,1,0.2563131313131313,0.96,0.9999428410133369,0.4357547334820064,0.00005715898666290317,99
model,1,0.2768,0.95,0.9999461341236795,0.43582251082251106,0.00005386587632018446,99
model,1,0.2923457544288332,0.94,0.9999494272340225,0.45292759961127327,0.00005057276597746575,98
model,1,0.3330067567567568,0.93,0.9999529555665323,0.4614955357142858,0.000047044433467409995,96
model,1,0.3673019801980198,0.93,0.9999564838990422,0.4739087301587302,0.00004351610095735423,96
model,1,0.38362459546925565,0.93,0.999960012231552,0.4858754960317461,0.00003998776844729848,96
model,1,0.4375838926174497,0.92,0.999963540564062,0.5072296626984129,0.00003645943593724272,96
model,1,0.47365558912386707,0.92,0.9999670688965722,0.5269345238095239,0.000032931103427186974,96
model,1,0.501228861330327,0.9,0.9999701267847476,0.5416791979949876,0.00002987321525180533,95
model,1,0.5606529209621993,0.88,0.9999734198950903,0.5643617021276596,0.000026580104909086633,94
model,1,0.6122606924643584,0.86,0.9999764777832657,0.5989130434782609,0.000023522216733704984,92
model,1,0.6444844597927972,0.86,0.9999802413379433,0.6418518518518521,0.000019758662056312187,90
model,1,0.6880855397148676,0.83,0.9999830640039512,0.6674329501915711,0.000016935996048267587,87
model,1,0.7474257425742574,0.82,0.999986357114294,0.7217054263565893,0.00001364288570554889,86
model,1,0.7833262711864407,0.81,0.999989885446804,0.7781746031746033,0.000010114553195493144,84
model,1,0.8298267326732673,0.78,0.9999927081128124,0.8317073170731706,0.000007291887187448545,82
model,1,0.8696688741721854,0.73,0.9999950603344857,0.8673245614035087,0.000004939665514078047,76
model,1,0.9140104166666667,0.69,0.9999978830004939,0.9225352112676056,0.0000021169995060334484,71
model,1,0.984826883910387,0.61,0.9999995295556653,0.9758064516129032,4.704443346740997e-7,62
model,1,0.999198606271777,0.47,0.9999997647778326,0.9893617021276596,2.3522216733704985e-7,47
model,1,1,0.46,1,1,0,46
hypergeometric,2,0,0.065,0.9999731840421527,0.22370933490842995,0.000026815957847196084,13
hypergeometric,2,5.177087658075475e-201,0.09,0.9999494260444111,0.2050887740861705,0.00005057395558901016,17
hypergeometric,2,6.518538306371403e-148,0.125,0.9999235509973655,0.3230587224401584,0.00007644900263455025,24
hypergeometric,2,1.3584637269007772e-118,0.14,0.9998964998118177,0.2660409879703427,0.00010350018818216032,27
hypergeometric,2,1.0228195022062881e-97,0.17,0.9998710952201729,0.33406965411562206,0.00012890477982687243,33
hypergeometric,2,8.573166486667886e-87,0.215,0.9998459258562288,0.30630049852760216,0.0001540741437711705,41
hypergeometric,2,1.5859795375785493e-76,0.235,0.9998195803537823,0.2843441019300975,0.0001804196462175386,43
hypergeometric,2,2.2772554700147635e-70,0.265,0.9997934700790364,0.28271208315769575,0.00020652992096349275,47
hypergeometric,2,4.300977970106277e-65,0.265,0.9997661836657883,0.24243300330529652,0.00023381633421151678,47
hypergeometric,2,2.3187533691057208e-61,0.265,0.9997386620248401,0.20273769251156168,0.00026133797515995495,47
hypergeometric,2,6.849924479224708e-57,0.27,0.9997116108392927,0.18870312486215524,0.000288389160707565,48
hypergeometric,2,2.5771304540511095e-53,0.27,0.9996843244260445,0.17751530855905817,0.00031567557395558907,48
